step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
9,45.0,0,FLY_AND_INFER,R5,61.801,-13.501,35.51,3.12,-3.9,0.234,0.624,-0.78,0.047,99.485,40.317,1,MESH,307.2,0.88,129.8,0.18,1,0,moved=25.0m; local obstacle/risk inference
9,45.0,1,FLY_AND_INFER,R2,-67.071,99.827,46.638,4.586,1.965,0.328,0.917,0.393,0.066,97.76,40.977,1,MESH,384.0,0.88,149.6,0.18,1,0,moved=25.0m; local obstacle/risk inference
9,45.0,2,FLY_AND_INFER,R6,54.461,80.63,47.335,-1.108,-4.874,-0.133,-0.222,-0.975,-0.027,97.749,40.894,1,MESH,268.8,0.88,169.4,0.0,0,0,moved=25.0m; local obstacle/risk inference
10,50.0,0,FLY_AND_INFER,R5,77.401,-33.001,36.68,3.12,-3.9,0.234,0.0,0.0,0.0,97.88,40.824,1,MESH,384.0,0.88,149.6,0.18,1,0,moved=25.0m; local obstacle/risk inference
10,50.0,1,FLY_AND_INFER,R2,-44.141,109.654,48.276,4.586,1.965,0.328,0.0,-0.0,-0.0,96.155,41.405,1,MESH,268.8,0.88,169.4,0.18,1,0,moved=25.0m; local obstacle/risk inference
10,50.0,2,FLY_AND_INFER,R6,48.923,56.261,46.671,-1.108,-4.874,-0.133,0.0,0.0,0.0,96.144,41.332,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
11,55.0,0,FLY_AND_INFER,R5,93.001,-52.502,37.85,3.12,-3.9,0.234,0.0,0.0,0.0,96.275,41.27,1,MESH,268.8,0.88,169.4,0.18,1,0,moved=25.0m; local obstacle/risk inference
11,55.0,1,FLY_AND_INFER,R2,-21.212,119.48,49.913,4.586,1.965,0.328,0.0,0.0,0.0,94.55,41.782,1,MESH,211.2,0.855,110.0,0.18,1,0,moved=25.0m; local obstacle/risk inference
11,55.0,2,FLY_AND_INFER,R6,43.384,31.891,46.006,-1.108,-4.874,-0.133,0.0,0.0,0.0,94.539,41.717,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
12,60.0,0,COMMUNICATE,R5,93.001,-52.502,37.85,0.0,0.0,0.0,-0.624,0.78,-0.047,96.023,40.638,1,MESH,211.2,0.855,110.0,0.0,0,0,uploaded_results=1; uploaded=0.040MB; mode=metadata_only; latency=110.0ms
