step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
8,40.0,2,COMMUNICATE,S4,16.765,84.043,12.0,0.0,0.0,0.0,0.625,-0.781,-0.0,100.091,36.206,1,WI-FI,1500.0,0.97,47.6,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=47.6ms
9,45.0,0,ASSIGN,S1,-48.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,98.507,36.319,1,WI-FI,1200.0,0.97,41.3,0.0,0,0,ground intent accepted; local feasibility passed
9,45.0,1,FLY_AND_INFER,S7,111.235,45.957,12.0,3.123,-3.904,0.0,0.625,-0.781,0.0,96.773,37.083,1,WI-FI,1500.0,0.97,47.6,0.0,0,0,moved=25.0m; local obstacle/risk inference
9,45.0,2,SERVICE,,16.0,85.0,12.0,-0.153,0.191,0.0,-0.031,0.038,0.0,97.68,37.732,1,WI-FI,1050.0,0.97,53.9,0.18,1,0,moved=1.2m; strip sprayed; chemical_left=2.5; queued=0.180MB; dropped=0.000MB
10,50.0,0,FLY_AND_INFER,S1,-63.617,65.478,12.0,-3.123,-3.904,0.0,-0.625,-0.781,0.0,97.052,36.826,1,WI-FI,1500.0,0.97,47.6,0.0,0,0,moved=25.0m; local obstacle/risk inference
10,50.0,1,SERVICE,,112.0,45.0,12.0,0.153,-0.191,0.0,-0.594,0.743,0.0,94.442,38.503,1,WI-FI,1050.0,0.97,53.9,0.18,1,0,moved=1.2m; strip sprayed; chemical_left=2.5; queued=0.180MB; dropped=0.000MB
10,50.0,2,STORE_AND_WAIT,,16.0,85.0,12.0,0.0,0.0,0.0,0.031,-0.038,-0.0,97.68,37.044,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
11,55.0,0,FLY_AND_INFER,S1,-79.235,45.957,12.0,-3.123,-3.904,0.0,-0.0,0.0,0.0,95.597,37.272,1,WI-FI,1050.0,0.97,53.9,0.0,0,0,moved=25.0m; local obstacle/risk inference
11,55.0,1,HOLD,,112.0,45.0,12.0,0.0,0.0,0.0,-0.031,0.038,-0.0,94.442,37.723,1,WI-FI,825.0,0.945,35.0,0.18,1,0,no feasible released task
11,55.0,2,STORE_AND_WAIT,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.68,36.439,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
12,60.0,0,SERVICE,,-80.0,45.0,12.0,-0.153,-0.191,0.0,0.594,0.743,0.0,93.269,38.67,1,WI-FI,825.0,0.945,35.0,0.18,1,0,moved=1.2m; strip sprayed; chemical_left=1.8; queued=0.180MB; dropped=0.000MB
12,60.0,1,STORE_AND_WAIT,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.442,37.036,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
12,60.0,2,STORE_AND_WAIT,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.68,35.906,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
13,65.0,0,HOLD,,-80.0,45.0,12.0,0.0,0.0,0.0,0.031,0.038,-0.0,93.269,37.87,1,WI-FI,1200.0,0.97,41.3,0.18,1,0,no feasible released task
13,65.0,1,STORE_AND_WAIT,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.442,36.432,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
13,65.0,2,HOLD,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.68,35.437,1,WI-FI,1050.0,0.97,53.9,0.18,1,0,no feasible released task
14,70.0,0,STORE_AND_WAIT,,-80.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,93.269,37.165,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
14,70.0,1,STORE_AND_WAIT,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.442,35.9,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
14,70.0,2,HOLD,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.68,35.025,1,WI-FI,825.0,0.945,35.0,0.18,1,0,no feasible released task
15,75.0,0,STORE_AND_WAIT,,-80.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,93.269,36.545,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
15,75.0,1,HOLD,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.442,35.432,1,WI-FI,825.0,0.945,35.0,0.18,1,0,no feasible released task
15,75.0,2,HOLD,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.68,34.662,1,WI-FI,1200.0,0.97,41.3,0.18,1,0,no feasible released task
16,80.0,0,STORE_AND_WAIT,,-80.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,93.269,36.0,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,result retained onboard
16,80.0,1,COMMUNICATE,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.183,35.02,1,WI-FI,1200.0,0.97,41.3,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=41.3ms
16,80.0,2,COMMUNICATE,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.421,34.343,1,WI-FI,1500.0,0.97,47.6,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=47.6ms
17,85.0,0,HOLD,,-80.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,93.269,35.52,1,WI-FI,1200.0,0.97,41.3,0.18,1,0,no feasible released task
17,85.0,1,HOLD,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.183,34.658,1,WI-FI,1500.0,0.97,47.6,0.0,0,0,no feasible released task
17,85.0,2,HOLD,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.421,34.061,1,WI-FI,1050.0,0.97,53.9,0.0,0,0,no feasible released task
18,90.0,0,HOLD,,-80.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,93.269,35.098,1,WI-FI,1500.0,0.97,47.6,0.18,1,0,no feasible released task
18,90.0,1,HOLD,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.183,34.339,1,WI-FI,1050.0,0.97,53.9,0.0,0,0,no feasible released task
18,90.0,2,HOLD,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.421,33.814,1,WI-FI,825.0,0.945,35.0,0.0,0,0,no feasible released task
19,95.0,0,HOLD,,-80.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,93.269,34.726,1,WI-FI,1050.0,0.97,53.9,0.18,1,0,no feasible released task
19,95.0,1,HOLD,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.183,34.058,1,WI-FI,825.0,0.945,35.0,0.0,0,0,no feasible released task
19,95.0,2,HOLD,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.421,33.596,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,no feasible released task
20,100.0,0,COMMUNICATE,,-80.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,93.01,34.399,1,WI-FI,825.0,0.945,35.0,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=35.0ms
20,100.0,1,HOLD,,112.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,94.183,33.811,1,WI-FI,1200.0,0.97,41.3,0.0,0,0,no feasible released task
20,100.0,2,HOLD,,16.0,85.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,97.421,33.405,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,no feasible released task
